Date	Hour	Price
09.01.2018	H8	38.88
09.01.2018	H9	38.00
09.01.2018	H10	37.00
09.01.2018	H11	37.55
09.01.2018	H12	38.25
09.01.2018	H13	40.00
09.01.2018	H14	39.07
09.01.2018	H15	41.29
09.01.2018	H16	43.00
09.01.2018	H17	44.84
09.01.2018	H18	49.39
09.01.2018	H19	49.72
09.01.2018	H20	46.29
09.01.2018	H21	41.77
09.01.2018	H22	36.84
09.01.2018	H23	35.00
09.01.2018	H24	28.91
10.01.2018	H1	27.38
10.01.2018	H2	25.99
10.01.2018	H3	25.50
10.01.2018	H4	25.24
10.01.2018	H5	26.90
10.01.2018	H6	30.47
10.01.2018	H7	40.23
10.01.2018	H8	50.77
10.01.2018	H9	51.37
10.01.2018	H10	49.53
10.01.2018	H11	48.64
10.01.2018	H12	48.93
10.01.2018	H13	48.00
10.01.2018	H14	47.51
10.01.2018	H15	47.67
10.01.2018	H16	49.57
10.01.2018	H17	51.63
10.01.2018	H18	55.23
10.01.2018	H19	54.35
10.01.2018	H20	51.18
10.01.2018	H21	48.80
10.01.2018	H22	44.60
10.01.2018	H23	40.99
10.01.2018	H24	36.95
11.01.2018	H1	34.50
11.01.2018	H2	33.19
11.01.2018	H3	32.01
11.01.2018	H4	29.30
11.01.2018	H5	31.30
11.01.2018	H6	34.10
11.01.2018	H7	43.22
11.01.2018	H8	52.77
11.01.2018	H9	56.34
11.01.2018	H10	55.70
11.01.2018	H11	55.83
11.01.2018	H12	55.80
11.01.2018	H13	54.10
11.01.2018	H14	53.09
11.01.2018	H15	52.46
11.01.2018	H16	53.30
11.01.2018	H17	54.99
11.01.2018	H18	58.18
11.01.2018	H19	58.94
11.01.2018	H20	55.27
11.01.2018	H21	48.66
11.01.2018	H22	42.27
11.01.2018	H23	39.00
11.01.2018	H24	35.02
12.01.2018	H1	35.79
12.01.2018	H2	34.60
12.01.2018	H3	33.20
12.01.2018	H4	32.00
12.01.2018	H5	32.00
12.01.2018	H6	35.30
12.01.2018	H7	40.49
12.01.2018	H8	50.16
12.01.2018	H9	51.99
12.01.2018	H10	51.77
12.01.2018	H11	51.83
12.01.2018	H12	51.58
12.01.2018	H13	50.29
12.01.2018	H14	48.53
12.01.2018	H15	46.50
12.01.2018	H16	46.14
12.01.2018	H17	47.30
12.01.2018	H18	50.33
12.01.2018	H19	49.13
12.01.2018	H20	45.53
12.01.2018	H21	40.32
12.01.2018	H22	35.50
12.01.2018	H23	34.97
12.01.2018	H24	32.10
13.01.2018	H1	33.92
13.01.2018	H2	31.87
13.01.2018	H3	31.09
13.01.2018	H4	31.49
13.01.2018	H5	31.00
13.01.2018	H6	31.43
13.01.2018	H7	31.00
13.01.2018	H8	31.50
13.01.2018	H9	34.56
13.01.2018	H10	38.93
13.01.2018	H11	40.00
13.01.2018	H12	39.70
13.01.2018	H13	39.30
13.01.2018	H14	37.26
13.01.2018	H15	35.17
13.01.2018	H16	34.77
13.01.2018	H17	38.99
13.01.2018	H18	41.81
13.01.2018	H19	41.56
13.01.2018	H20	39.14
13.01.2018	H21	33.80
13.01.2018	H22	31.00
13.01.2018	H23	31.89
13.01.2018	H24	27.98
14.01.2018	H1	21.50
14.01.2018	H2	18.65
14.01.2018	H3	16.98
14.01.2018	H4	16.40
14.01.2018	H5	16.40
14.01.2018	H6	17.34
14.01.2018	H7	17.08
14.01.2018	H8	20.23
14.01.2018	H9	25.51
14.01.2018	H10	28.50
14.01.2018	H11	28.83
14.01.2018	H12	31.50
14.01.2018	H13	30.76
14.01.2018	H14	29.60
14.01.2018	H15	29.45
14.01.2018	H16	30.05
14.01.2018	H17	41.58
14.01.2018	H18	48.51
14.01.2018	H19	44.21
14.01.2018	H20	41.05
14.01.2018	H21	40.09
14.01.2018	H22	33.60
14.01.2018	H23	32.87
14.01.2018	H24	25.85
15.01.2018	H1	21.40
15.01.2018	H2	21.50
15.01.2018	H3	20.00
15.01.2018	H4	19.40
15.01.2018	H5	20.00
15.01.2018	H6	25.51
15.01.2018	H7	38.00
15.01.2018	H8	48.72
15.01.2018	H9	47.91
15.01.2018	H10	45.31
15.01.2018	H11	42.86
15.01.2018	H12	41.00
15.01.2018	H13	39.84
15.01.2018	H14	39.00
15.01.2018	H15	39.19
15.01.2018	H16	44.42
15.01.2018	H17	54.74
